Timestamp,World_X,World_Y,World_Z,UTM_Easting,UTM_Northing,UTM_Zone,Velocity_kmh,Yaw
0.408,-200.00,-0.00,91.93,320830.6602,4039049.2139,52,0.29,180.0000
0.408,240.09,220.00,11.74,320835.0611,4039047.0139,52,0.01,-0.0000
0.428,-200.00,-0.00,90.57,320830.6602,4039049.2139,52,1.47,180.0000
0.428,240.10,219.99,16.59,320835.0611,4039047.0140,52,5.24,0.0005
0.449,-200.00,-0.00,89.41,320830.6602,4039049.2139,52,2.16,180.0000
0.449,240.09,219.99,19.86,320835.0611,4039047.0140,52,6.04,0.0004
0.462,-200.00,-0.00,87.66,320830.6602,4039049.2139,52,2.92,180.0000
0.462,240.07,219.99,23.34,320835.0609,4039047.0140,52,5.82,0.0003
0.514,-200.00,-0.00,82.07,320830.6602,4039049.2139,52,4.69,180.0000
0.514,240.03,220.00,29.98,320835.0605,4039047.0140,52,4.03,0.0002
0.602,-200.00,-0.00,65.07,320830.6602,4039049.2139,52,7.99,180.0000
0.602,239.98,220.00,35.67,320835.0600,4039047.0139,52,0.73,0.0001
0.705,-200.00,-0.00,37.59,320830.6602,4039049.2139,52,11.48,180.0000
0.705,239.94,220.00,32.21,320835.0596,4039047.0139,52,2.77,0.0000
0.807,-200.14,0.01,15.85,320830.6588,4039049.2138,52,0.09,-180.0000
0.807,240.11,220.00,23.42,320835.0613,4039047.0139,52,1.37,-0.0000
0.909,-199.96,0.00,25.42,320830.6606,4039049.2139,52,3.34,179.9997
0.909,240.02,220.00,24.84,320835.0604,4039047.0139,52,1.05,-0.0002
1.003,-199.72,-0.00,29.10,320830.6630,4039049.2139,52,0.12,179.9995
1.003,239.99,220.01,26.18,320835.0601,4039047.0138,52,0.02,-0.0002
1.106,-199.76,-0.00,25.15,320830.6626,4039049.2139,52,1.05,179.9994
1.106,240.02,220.01,25.77,320835.0604,4039047.0138,52,0.21,-0.0002
1.211,-199.78,-0.00,24.87,320830.6624,4039049.2139,52,0.35,179.9994
1.211,240.02,220.01,25.51,320835.0604,4039047.0138,52,0.02,-0.0001
1.307,-199.71,-0.00,25.99,320830.6631,4039049.2140,52,0.01,179.9994
1.307,240.01,220.02,25.74,320835.0603,4039047.0137,52,0.05,-0.0001
1.404,-199.72,-0.01,25.62,320830.6630,4039049.2140,52,0.14,179.9994
