Timestamp,World_X,World_Y,World_Z,UTM_Easting,UTM_Northing,UTM_Zone,Velocity_kmh,Yaw,pitch,Roll,F_LeftValue,F_RightValue,Total_M,Start_M,CurrentSpeed,Acceleration,Deceleration
0.134,0.00,270.00,91.73,320832.6602,4039046.5139,52,58.79,-90.0000,0.0000,0.0000,0.0000,0.0000,0.000,0.000,0.1633,0.0000,0.0000
0.223,0.00,270.00,90.10,320832.6602,4039046.5139,52,176.33,-90.0000,0.0000,0.0000,-0.0000,0.0000,0.016,0.016,0.4898,3.2650,0.0000
0.307,0.00,270.00,79.02,320832.6602,4039046.5139,52,532.96,-90.0000,0.0000,0.0000,-0.0000,0.0000,0.127,0.127,1.4804,9.9063,0.0000
0.407,0.00,270.00,58.44,320832.6602,4039046.5139,52,885.97,-90.0000,0.0000,0.0000,-0.0000,0.0000,0.333,0.333,2.4610,9.8059,0.0000
0.507,0.00,270.00,28.13,320832.6602,4039046.5139,52,1237.68,-90.0000,0.0000,0.0000,-0.0000,0.0000,0.636,0.636,3.4380,9.7697,0.0000
0.607,-0.01,269.86,16.08,320832.6601,4039046.5153,52,278.10,-89.9998,0.2125,0.0100,-0.0000,0.0000,0.757,0.757,0.7725,-26.6549,26.6549
0.707,0.00,270.09,27.08,320832.6602,4039046.5130,52,293.46,-90.0003,0.0529,0.0032,-0.0000,0.0000,0.867,0.646,0.8152,0.4267,0.0000
0.807,0.01,270.32,29.50,320832.6602,4039046.5107,52,59.53,-90.0005,-0.1107,0.0008,-0.0000,0.0000,0.891,0.622,0.1654,-6.4982,6.4982
0.907,0.01,270.26,24.24,320832.6603,4039046.5114,52,152.97,-90.0005,0.0855,0.0027,-0.0000,0.0000,0.943,0.675,0.4249,2.5957,0.0000
1.007,0.01,270.28,24.31,320832.6603,4039046.5111,52,66.83,-90.0006,0.1952,0.0028,-0.0000,0.0000,0.944,0.674,0.1856,-2.3929,2.3929
1.108,0.01,270.34,25.54,320832.6603,4039046.5105,52,13.37,-90.0006,0.0993,0.0017,-0.0000,0.0000,0.956,0.662,0.0371,-1.4850,1.4850
1.208,0.02,270.32,25.23,320832.6603,4039046.5107,52,16.20,-90.0006,0.1158,0.0018,-0.0000,0.0000,0.960,0.665,0.0450,0.0787,0.0000
1.308,0.02,270.32,25.06,320832.6604,4039046.5108,52,1.37,-90.0006,0.1270,0.0019,-0.0000,0.0000,0.961,0.667,0.0038,-0.4120,0.4120
1.408,0.02,270.32,25.15,320832.6604,4039046.5107,52,0.10,-90.0006,0.1210,0.0019,-0.0000,0.0000,0.962,0.666,0.0003,-0.0354,0.0354
1.508,0.02,270.32,25.15,320832.6604,4039046.5107,52,0.02,-90.0006,0.1210,0.0019,-0.0000,0.0000,0.962,0.666,0.0001,-0.0020,0.0020
1.608,0.02,270.32,25.16,320832.6604,4039046.5107,52,0.00,-90.0006,0.1210,0.0019,-0.0000,0.0000,0.962,0.666,0.0000,-0.0005,0.0005
1.708,0.02,270.32,25.16,320832.6604,4039046.5107,52,0.00,-90.0006,0.1210,0.0019,-0.0000,0.0000,0.962,0.666,0.0000,-0.0001,0.0001
1.808,0.02,270.32,25.16,320832.6604,4039046.5107,52,0.00,-90.0006,0.1210,0.0019,-0.0000,0.0000,0.962,0.666,0.0000,-0.0000,0.0000
1.908,0.02,270.32,25.16,320832.6604,4039046.5107,52,0.00,-90.0006,0.1210,0.0019,-0.0000,0.0000,0.962,0.666,0.0000,0.0000,0.0000
2.008,0.02,270.32,25.16,320832.6604,4039046.5107,52,0.00,-90.0006,0.1210,0.0019,-0.0000,0.0000,0.962,0.666,0.0000,-0.0000,0.0000
2.108,0.02,270.32,25.16,320832.6604,4039046.5107,52,0.00,-90.0006,0.1210,0.0019,-0.0000,0.0000,0.962,0.666,0.0000,0.0000,0.0000
2.208,0.02,270.32,25.16,320832.6604,4039046.5107,52,0.00,-90.0006,0.1210,0.0019,-0.0000,0.0000,0.962,0.666,0.0000,-0.0000,0.0000
2.303,0.02,270.32,25.28,320832.6604,4039046.5107,52,6.36,-90.0005,0.1197,0.0024,-0.0000,0.0000,0.963,0.665,0.0177,0.1765,0.0000
2.411,0.02,270.32,25.34,320832.6604,4039046.5107,52,1.49,-90.0005,0.1191,0.0025,-0.0000,0.0000,0.964,0.664,0.0041,-0.1352,0.1352
2.511,0.02,270.32,25.20,320832.6604,4039046.5107,52,5.65,-90.0006,0.1211,0.0020,-0.0000,0.0000,0.965,0.665,0.0157,0.1155,0.0000
2.611,0.02,270.32,25.12,320832.6604,4039046.5107,52,0.15,-90.0006,0.1222,0.0019,-0.0000,0.0000,0.966,0.666,0.0004,-0.1527,0.1527
2.711,0.02,270.32,25.15,320832.6604,4039046.5107,52,1.07,-90.0006,0.1212,0.0019,-0.0000,0.0000,0.966,0.666,0.0030,0.0256,0.0000
2.811,0.02,270.32,25.15,320832.6604,4039046.5107,52,0.00,-90.0006,0.1211,0.0019,-0.0000,0.0000,0.966,0.666,0.0000,-0.0297,0.0297
2.911,0.02,270.32,25.16,320832.6604,4039046.5107,52,0.00,-90.0006,0.1211,0.0019,-0.0000,0.0000,0.966,0.666,0.0000,0.0000,0.0000
3.011,0.02,270.32,25.16,320832.6604,4039046.5107,52,0.00,-90.0006,0.1211,0.0019,-0.0000,0.0000,0.966,0.666,0.0000,-0.0000,0.0000
3.111,0.02,270.32,25.16,320832.6604,4039046.5107,52,0.00,-90.0006,0.1211,0.0019,-0.0000,0.0000,0.966,0.666,0.0000,-0.0000,0.0000
3.211,0.02,270.32,25.16,320832.6604,4039046.5107,52,0.00,-90.0006,0.1211,0.0019,-0.0000,0.0000,0.966,0.666,0.0000,-0.0000,0.0000
3.311,0.02,270.32,25.16,320832.6604,4039046.5107,52,0.00,-90.0006,0.1211,0.0019,-0.0000,0.0000,0.966,0.666,0.0000,-0.0000,0.0000
3.411,0.02,270.32,25.16,320832.6604,4039046.5107,52,0.00,-90.0006,0.1211,0.0019,-0.0000,0.0000,0.966,0.666,0.0000,0.0000,0.0000
3.511,0.02,270.32,25.16,320832.6604,4039046.5107,52,0.01,-90.0006,0.1211,0.0019,-0.0000,0.0000,0.966,0.666,0.0000,0.0002,0.0000
3.611,0.02,270.32,25.16,320832.6604,4039046.5107,52,0.00,-90.0006,0.1211,0.0019,-0.0000,0.0000,0.966,0.666,0.0000,-0.0002,0.0002
3.711,0.02,270.32,25.16,320832.6604,4039046.5107,52,0.00,-90.0006,0.1211,0.0019,-0.0000,0.0000,0.966,0.666,0.0000,-0.0000,0.0000
3.811,0.02,270.32,25.16,320832.6604,4039046.5107,52,0.00,-90.0006,0.1211,0.0019,-0.0000,0.0000,0.966,0.666,0.0000,-0.0000,0.0000
3.911,0.02,270.32,25.16,320832.6604,4039046.5107,52,0.00,-90.0006,0.1211,0.0019,-0.0000,0.0000,0.966,0.666,0.0000,0.0000,0.0000
4.011,0.02,270.32,25.16,320832.6604,4039046.5107,52,0.00,-90.0006,0.1211,0.0019,-0.0000,0.0000,0.966,0.666,0.0000,0.0000,0.0000
4.111,0.02,270.32,25.16,320832.6604,4039046.5107,52,0.00,-90.0006,0.1211,0.0019,-0.0000,0.0000,0.966,0.666,0.0000,-0.0000,0.0000
4.211,0.02,270.32,25.16,320832.6604,4039046.5107,52,0.00,-90.0006,0.1211,0.0019,-0.0000,0.0000,0.966,0.666,0.0000,0.0000,0.0000
4.311,0.02,270.32,25.16,320832.6604,4039046.5107,52,0.00,-90.0006,0.1211,0.0019,-0.0000,0.0000,0.966,0.666,0.0000,-0.0000,0.0000
4.418,0.02,270.32,25.16,320832.6604,4039046.5107,52,0.00,-90.0006,0.1211,0.0019,-0.0000,0.0000,0.966,0.666,0.0000,0.0000,0.0000
4.512,0.02,270.32,25.31,320832.6604,4039046.5107,52,0.98,-90.0005,0.1197,0.0024,-0.0000,0.0000,0.968,0.664,0.0027,0.0272,0.0000
4.612,0.02,270.32,25.35,320832.6604,4039046.5107,52,1.26,-90.0005,0.1193,0.0026,-0.0000,0.0000,0.968,0.664,0.0035,0.0079,0.0000
4.711,0.02,270.32,25.34,320832.6604,4039046.5107,52,2.14,-90.0005,0.1196,0.0027,-0.0000,0.0000,0.969,0.664,0.0059,0.0243,0.0000
4.808,0.02,270.32,25.33,320832.6604,4039046.5107,52,0.19,-90.0005,0.1197,0.0025,-0.0000,0.0000,0.969,0.664,0.0005,-0.0541,0.0541
